t_s,t_min,soc_pct,power_kw,range_miles,time_to_80_min,time_to_100_min
0.0,0.0,20.0,46.6666666666665,120.0,9.0,10.0
1.0,0.016666666666666666,20.11111111111111,46.6666666666665,120.66666666666666,8.983333333333333,9.983333333333333
2.0,0.03333333333333333,20.22222222222222,46.6666666666665,121.33333333333333,8.966666666666667,9.966666666666667
3.0,0.05,20.333333333333332,46.6666666666665,121.99999999999999,8.95,9.95
4.0,0.06666666666666667,20.444444444444443,46.66666666666725,122.66666666666666,8.933333333333334,9.933333333333334
5.0,0.08333333333333333,20.555555555555557,46.66666666666725,123.33333333333334,8.916666666666666,9.916666666666666
6.0,0.1,20.666666666666668,46.6666666666665,124.0,8.9,9.9
7.0,0.11666666666666667,20.77777777777778,46.6666666666665,124.66666666666667,8.883333333333333,9.883333333333333
8.0,0.13333333333333333,20.88888888888889,46.6666666666665,125.33333333333334,8.866666666666667,9.866666666666667
9.0,0.15,21.0,46.6666666666665,126.0,8.85,9.85
10.0,0.16666666666666666,21.11111111111111,46.6666666666665,126.66666666666667,8.833333333333334,9.833333333333334
11.0,0.18333333333333332,21.22222222222222,46.6666666666665,127.33333333333331,8.816666666666666,9.816666666666666
12.0,0.2,21.333333333333332,46.6666666666665,127.99999999999999,8.8,9.8
13.0,0.21666666666666667,21.444444444444443,46.66666666666725,128.66666666666666,8.783333333333333,9.783333333333333
14.0,0.23333333333333334,21.555555555555557,46.66666666666725,129.33333333333334,8.766666666666667,9.766666666666667
15.0,0.25,21.666666666666668,46.6666666666665,130.0,8.75,9.75
16.0,0.26666666666666666,21.77777777777778,46.6666666666665,130.66666666666669,8.733333333333333,9.733333333333333
17.0,0.2833333333333333,21.88888888888889,46.6666666666665,131.33333333333334,8.716666666666667,9.716666666666667
18.0,0.3,22.0,46.6666666666665,132.0,8.7,9.7
19.0,0.31666666666666665,22.11111111111111,46.6666666666665,132.66666666666669,8.683333333333334,9.683333333333334
20.0,0.3333333333333333,22.22222222222222,46.6666666666665,133.33333333333331,8.666666666666666,9.666666666666666
21.0,0.35,22.333333333333332,46.6666666666665,134.0,8.65,9.65
22.0,0.36666666666666664,22.444444444444443,46.66666666666725,134.66666666666666,8.633333333333333,9.633333333333333
